1764,1,2,1
1772,1,3,2
1790,3,1,1
1809,1,3,2
1825,3,1,2
1846,3,1,2
1861,1,3,2
1876,1,3,2
1889,3,2,1
1897,3,1,3
1911,1,2,1
1919,1,3,3
1935,2,3,3
1946,3,1,3
1971,2,1,2
1978,3,2,1
1988,2,3,3
2005,1,2,1
2017,2,1,1
2025,2,3,1
2032,3,1,3
2052,2,1,3
2071,1,2,1
2080,2,1,2
2090,3,2,3
2109,3,1,1
2123,1,2,1
2131,1,3,2
2144,2,3,3
2151,2,3,3
2159,2,1,3
2167,1,3,3
2180,2,3,1
2193,3,2,1
2200,3,2,3
2207,1,2,1
2220,2,1,1
2233,1,2,3
2241,2,3,3
2251,1,3,2
2266,2,1,3
2274,1,2,1
2285,1,2,3
2294,2,3,1
2312,3,2,3
2320,1,2,3
2330,3,1,3
2345,2,1,2
2352,3,1,1
2366,2,3,2
2375,1,3,2
2391,3,1,2
2408,1,3,1
2423,1,3,3
2437,3,2,1
2444,1,2,1
2454,2,3,3
2461,1,2,1
2469,2,3,1
2476,3,1,2
2490,2,3,2
2503,2,1,3
2515,1,3,3
2534,1,3,2
2549,1,3,2
2563,1,2,1
2571,1,3,3
2588,3,1,3
2604,1,2,1
2611,3,1,1
2638,1,2,1
2645,2,1,2
2656,3,2,2
2666,3,1,1
2680,2,1,1
2690,1,3,1
2704,3,2,2
2712,2,3,2
2720,3,1,3
2735,3,2,3
2750,2,3,2
2762,1,3,2
2775,2,1,1
2785,2,3,2
2801,3,2,2
2808,1,2,2
2820,3,2,1
2827,3,2,2
2834,1,2,1
2842,1,3,1
2862,2,1,2
2870,2,1,1
2882,3,1,2
2906,2,3,3
2917,1,3,2
2931,2,3,1
2942,1,2,2
2959,2,1,2
2969,3,2,2
2977,1,2,1
2984,2,3,1
2992,2,1,1
3013,1,3,1
3027,1,3,3
3043,2,1,3
3052,3,2,3
3059,2,1,3
3067,1,3,2
3086,2,3,2
3098,1,3,1
3112,1,3,2
3133,1,2,1
3141,2,1,2
3152,3,1,1
3174,1,2,3
3181,2,1,3
3192,1,3,2
3206,3,2,3
3217,1,2,2
3229,1,3,1
3244,3,1,2
3267,1,3,3
3281,2,1,2
3291,1,3,1
3308,2,1,3
3315,3,2,2
3323,3,1,1
3339,2,3,1
3350,3,1,3
3364,1,2,2
3378,1,2,3
3385,3,2,3
3392,3,2,2
3403,1,3,3
3417,3,2,3
3424,2,1,3
3432,1,2,2
3446,2,3,1
3457,2,1,2
3473,1,2,1
3486,1,3,2
3502,2,1,2
3512,3,2,2
3527,1,2,3
3536,3,1,3
3551,3,2,1
3558,3,1,3
3575,3,2,3
3582,3,2,1
3593,3,2,3
3605,2,3,2
3614,2,1,3
3622,3,2,2
3631,1,2,2
3638,3,2,2
3645,1,3,1
3658,3,2,3
3666,3,1,2
3689,3,1,3
3703,2,3,2
3717,2,3,3
3724,1,3,2
3740,2,3,3
3749,1,3,3
3763,3,2,2
3771,2,3,1
3778,1,2,1
3787,1,3,1
3804,2,1,3
3813,2,3,2
3821,2,3,3
3828,2,1,1
3837,2,1,3
3846,3,1,2
3860,2,1,3
3872,3,1,1
3886,1,3,1
3904,3,1,3
3926,3,2,3
3935,1,2,1
3944,1,3,2
3957,3,2,3
3968,1,3,3
3981,2,1,1
3989,1,2,2
3997,3,2,2
4007,1,2,1
4017,3,2,3
4024,2,3,2
4033,3,1,2
4047,3,1,1
